#domain,ioc,uri_path
ns1.blueseaedu.com,Possible Cobalt Strike C2 Domain,/MicrosoftUpdate/ShellEx/KB242742/default.aspx
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain,/ptj
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns1.dmitolt.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
ns1.dns-supports.online,Possible Cobalt Strike C2 Domain,/api/3
ns1.dnsdnsdns.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.dnslogik.com,Possible Cobalt Strike C2 Domain,/mp/getapp/msgext
ns1.gac-oa.com,Possible Cobalt Strike C2 Domain,/help
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/fwlink
ns1.inpex589.info,Possible Cobalt Strike C2 Domain,/5a8b3c9d1/sig_ver
ns1.jd-1111.cn,Possible Cobalt Strike C2 Domain,/api/x
ns1.kp1nm8ao.xyz,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
ns1.mb-testing.de,Possible Cobalt Strike C2 Domain,/search/
ns1.microsoft-update.one,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain,/visit.js
ns1.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns1.rememdam.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns1.simplence.cn,Possible Cobalt Strike C2 Domain,/dpixel
ns1.triumphp.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.101.min.js
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain,/updates.rss
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
ns1.yuejinjianke.cn,Possible Cobalt Strike C2 Domain,/pixel.gif
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain,/fwlink
ns2.0-2.pw,Possible Cobalt Strike C2 Domain,/__utm.gif
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/
ns2.623866.xyz,Possible Cobalt Strike C2 Domain,/load
ns2.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.baidusec.top,Possible Cobalt Strike C2 Domain,/RELEASE
ns2.blueseaedu.com,Possible Cobalt Strike C2 Domain,/MicrosoftUpdate/ShellEx/KB242742/default.aspx
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ns2.dns-supports.online,Possible Cobalt Strike C2 Domain,/api/3
ns2.dnsdnsdns.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.dnslogik.com,Possible Cobalt Strike C2 Domain,/mp/getapp/msgext
ns2.gac-oa.com,Possible Cobalt Strike C2 Domain,/help
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/visit.js
ns2.jd-1111.cn,Possible Cobalt Strike C2 Domain,/api/x
ns2.kp1nm8ao.xyz,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
ns2.microsoft-update.one,Possible Cobalt Strike C2 Domain,/static/js/jquery-3.3.1.min.js
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns2.rememdam.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns2.simplence.cn,Possible Cobalt Strike C2 Domain,/push
ns2.triumphp.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.101.min.js
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain,/cx
ns2.yuejinjianke.cn,Possible Cobalt Strike C2 Domain,/ptj
ns2.zengjunhe.top,Possible Cobalt Strike C2 Domain,/ca
ns3.10010.buzz,Possible Cobalt Strike C2 Domain,/api/x
ns3.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.baidusec.top,Possible Cobalt Strike C2 Domain,/FAQ
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates
ns3.gac-oa.com,Possible Cobalt Strike C2 Domain,/help
ns3.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns3.simplence.cn,Possible Cobalt Strike C2 Domain,/cm
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain,/j.ad
ns4.10010.buzz,Possible Cobalt Strike C2 Domain,/api/x
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/match
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns_update1.wps.bj.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns_update2.wps.bj.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
nt1.227api.com,Possible Cobalt Strike C2 Domain,/push
nt2.227api.com,Possible Cobalt Strike C2 Domain,/load
nt3.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif
oa.cncb.info,Possible Cobalt Strike C2 Domain,/updates
ogind.drobpox.us,Possible Cobalt Strike C2 Domain,/owa/gUumXl4DHprL9OwyE74VBAqCbPpfgIJt
ok.ppctech.xyz,Possible Cobalt Strike C2 Domain,/Microsoft/owa/
okled.cc,Possible Cobalt Strike C2 Fronted Domain,/api/3
one.gxzf.site,Possible Cobalt Strike C2 Domain,/clemente/details
ongmanibeimeihong.cdnaliyun.top,Possible Cobalt Strike C2 Domain,/wp-admin
osssss.huawei.com,Possible Cobalt Strike C2 Fronting Domain,/mall_100_100.html
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/ptj
pic.micros0ft-security.org,Possible Cobalt Strike C2 Domain,/en_US/all.js
poop.ndgnetlabs.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
qw.reg32.com,Possible Cobalt Strike C2 Domain,/profile
qw.regcssv.com,Possible Cobalt Strike C2 Domain,/fam_calendar
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain,/j.ad
resource.weixin.qq.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
rw1.dbgblack.com,Possible Cobalt Strike C2 Domain,/__utm.gif
sanjianke.icu,Possible Cobalt Strike C2 Domain,/updates
saturnreviews.com,Possible Cobalt Strike C2 Domain,/Alert/welcome/QJ81AIZ9QHK
sbdatabase.com,Possible Cobalt Strike C2 Fronted Domain,/css
seruvadessigen.3utilities.com,Possible Cobalt Strike C2 Domain,/apiv8/getStatus
server1.bre1ce.top,Possible Cobalt Strike C2 Domain,/fwlink
server1.updateservice.store,Possible Cobalt Strike C2 Domain,/css/jp.css
service-18c6z8nb-1303896379.sh.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/api/x
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/user
service-2c8ubzu7-1257331363.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-2kefhgzl-1316598603.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-2o2bxyq2-1308102940.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/match
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-8cdlt0mn-1310256589.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/zC
service-8rv78e5d-1319481525.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/index.jsp
service-9cs9xxk6-1259711277.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-9sehd1r7-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/stream
service-bauue492-1309306755.gz.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/api/getit
service-bvvdi136-1317500845.gz.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-bzbl2uq7-1312255927.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/cx
service-cufhwy32-1317863896.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-d1yss7wi-1314780031.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/www/handle/doc
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Contact/v9.23/AODFY6X8UV
service-dlrbbup7-1309697666.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/updates.rss
service-eh2fyewb-1301153563.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-g1c0a353-1302650299.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-goqpel8p-1313519678.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-hs6w7s26-1317863896.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Forge/static/HULNWCWI
service-pgxnje5g-1307231181.gz.tencentapigw.com,Possible Cobalt Strike C2 Domain,/dot.gif
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/get
service.safaricom.workers.dev,Possible Cobalt Strike C2 Domain,/VLeNAth
set.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
shomyo.secru.it,Possible Cobalt Strike C2 Domain,/secure.html
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/updates.rss
software.cncb.info,Possible Cobalt Strike C2 Domain,/updates
solar.huawei.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
spf1.superpeggy.com,Possible Cobalt Strike C2 Domain,/search
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain,/image/
su.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
success.165gov.icu,Possible Cobalt Strike C2 Domain,/wp08/wp-includes/dtcla.php
summerevent2023.com,Possible Cobalt Strike C2 Domain,/tip.php
support.ibmxwork.com,Possible Cobalt Strike C2 Domain,/ml.js
sys.tcc-internal.com,Possible Cobalt Strike C2 Domain,/pixel
t.10nf0x.com,Possible Cobalt Strike C2 Domain,/owa/
tab.is-not-really-a.space,Possible Cobalt Strike C2 Domain,/jquery-4.9.1.min.js
teamsupd.azurewebsites.net,Possible Cobalt Strike C2 Domain,/pkg/b/
thursday.kfc4.icu,Possible Cobalt Strike C2 Fronting Domain,/0RZDKXR/ADGJJ4B3VRSPAV9KC3MXI80OFD.css
traincaster.net,Possible Cobalt Strike C2 Domain,/___utm.gif
updataus.com,Possible Cobalt Strike C2 Fronted Domain,/navigation
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/cm
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/cx
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/ca
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/visit.js
update.theasiagroupai.com,Possible Cobalt Strike C2 Domain,/v1/buckets/main/collections/hijack-blocklists
update.westus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/download/
update.windows-beta.info,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2023/10/29136388_
update37.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/download/
updates.adobe-soft.net,Possible Cobalt Strike C2 Domain,/dot.gif
updates.imedicalhub.com,Possible Cobalt Strike C2 Domain,/ms-settings-power
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
veriernano.com,Possible Cobalt Strike C2 Domain,/updates.rss
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/cx
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain,/visit.js
vm.updataus.com,Possible Cobalt Strike C2 Fronting Domain,/navigation
vpn.nsfocus.cn.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
waltonfoods.com,Possible Cobalt Strike C2 Domain,/Make/apache/T0ZTSFR9U
wcs.microsoftwindows.cloud,Possible Cobalt Strike C2 Domain,/dot.gif
webtest.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/feedapi/v1/newsserver/api/getusername
wps.cncb.info,Possible Cobalt Strike C2 Domain,/updates
www.amazon.com,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
www.checkupdates50.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.fucksec.buzz,Possible Cobalt Strike C2 Domain,/api/3
www.goodljlagfhssss.live,Possible Cobalt Strike C2 Domain,/owa/
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain,/image/
www.is-not-really-a.website,Possible Cobalt Strike C2 Domain,/jquery-4.9.1.min.js
www.itaberabanoticias.com,Possible Cobalt Strike C2 Domain,/pkg/b/
www.micrcscft-store.com,Possible Cobalt Strike C2 Domain,/bg
www.micros0fti.com,Possible Cobalt Strike C2 Domain,/api/methon/scan
www.okled.cc,Possible Cobalt Strike C2 Fronted Domain,/api/3
www.qichen.fun,Possible Cobalt Strike C2 Domain,/dot.gif
www.updategateway.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.upgrad3.cc,Possible Cobalt Strike C2 Domain,/visit.js
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
www.xiongge.space,Possible Cobalt Strike C2 Domain,/__utm.gif
www.xss.mba,Possible Cobalt Strike C2 Domain,/load
www1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain,/async/ddljson
www1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain,/async/newtab_ogb
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/ddljson
www2.itaberabanoticias.com,Possible Cobalt Strike C2 Domain,/pkg/b/
xgcs.ceshi897.cn,Possible Cobalt Strike C2 Domain,/cm
xmr.index-gpt.pro,Possible Cobalt Strike C2 Domain,/ga.js
zx.reg32.com,Possible Cobalt Strike C2 Domain,/remove
zx.regcssv.com,Possible Cobalt Strike C2 Domain,/fam_calendar
